Last Name;First Name;Position_cat4;Position;Team;Nat;Ht;Wt;Hand;GP;G;A;A1;A2;PTS;Plus_min;E_plus_min;PIM;Shifts;TOI;TOI_2;TOI/GP;TOI%;IPP%;SH%;SV%;PDO;F/60;A/60;Pct%;Diff;Diff/60;iCF;iFF;iSF;ixG;iSCF;iRB;iRS;iDS;sDist;sDist_2;Pass;iHF;iHA;iHDf;iMiss;iGVA;iTKA;iBLK;BLK%;iFOW;iFOL;FO%;%FOT;dzFOW;dzFOL;nzFOW;nzFOL;ozFOW;ozFOL;FOW.Up;FOL.Up;FOW.Down;FOL.Down;FOW.Close;FOL.Close;OTG;1G;GWG;ENG;PSG;PSA;G.Bkhd;G.Dflct;G.Slap;G.Snap;G.Tip;G.Wrap;G.Wrst;CBar ;Post;Over;Wide;S.Bkhd;S.Dflct;S.Slap;S.Snap;S.Tip;S.Wrap;S.Wrst;iPenT;iPenD;iPENT;iPEND;iPenDf;NPD;Min;Maj;Match;Misc;Game;CF;CA;FF;FA;SF;SA;xGF;xGA;SCF;SCA;GF;GA;RBF;RBA;RSF;RSA;DSF;DSA;FOW;FOL;HF;HA;GVA;TKA;PENT;PEND;OPS;DPS;PS;SOS;SOG;SOGDG;OTOI;Grit;DAP;Pace;GS;GS/G
Abbott;Spencer;Left wing;LW;CHI;CAN;69;170;R;1;0;0;0;0;0;0;0.1;0;12;514;8.6;8.57;0.17;0.00;0.00;1;1000;0;0;0.00;0;0;2;1;1;0.1;0;0;0;0;15;14.1;0;0;3;-3;0;0;1;0;0.00;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;7;6;6;5;4;0.2;0.4;0;1;0;0;0;0;0;1;0;1;4;2;2;9;1;1;0;1;0;0;0;;;;42.63;0;0;126;0.3;0.28
Abdelkader;Justin;Left wing;LW/RW;DET;USA;74;218;L;64;7;14;9;5;21;-20;-3.7;50;1397;63969;1040.9;16.65;0.28;0.62;0.07;0.909;977;1.96;2.59;0.43;-11;-0.63;158;138;104;13;49;7;10;17;26.8;25;237.7;144;74;66;36;18;15;27;0.03;5;12;0.29;0.02;0;0;1;4;4;8;1;2;2;3;2;10;1;5;1;0;0;0;1;1;1;1;0;0;3;0;0;1;35;6;6;16;11;19;1;45;22;32;20;28;10;8.6;20;2;0;0;0;916;895;697;671;498;495;48.5;44.3;168;151;34;45;24;31;37;45;61;76;500;471;361;367;143;81;64;74;0.1;0.5;0.7;;;;2641.98;223;8;104.4;16.1;0.26
Aberg;Pontus;Left wing;LW;NSH;SWE;71;196;R;15;1;1;0;1;2;-2;-1.2;4;256;11102;185;12.33;0.25;0.40;0.07;0.921;986;1.62;2.27;0.42;-2;-0.65;24;15;12;0.5;0;0;1;1;32.9;31.8;0;9;17;-8;3;2;5;2;0.01;1;0;1.00;0.01;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;0;1;1;1;8;2;3;2;2;1;0;2;0;0;0;0;142;159;106;117;77;89;5.6;6;18;20;5;7;4;4;10;9;14;13;97;92;68;72;28;23;13;13;-0.2;0.1;-0.1;;;;558.17;15;7;97.6;1;0.06
Acciari;Noel;Center;C;BOS;USA;70;208;R;29;2;3;1;2;5;3;0.5;16;431;18047;300.5;10.23;0.21;0.56;0.08;0.959;1035;1.8;1.2;0.60;3;0.6;NA;NA;24;2.6;10;NA;2;NA;23.8;NA;25.6;80;59;21;8;4;10;5;0.02;11;18;0.38;0.11;3;6;2;3;6;9;7;3;1;6;6;12;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;1;0;0;5;2;1;14;4;5;4;2;1;-2;3;0;0;1;0;232;251;172;193;118;146;10.3;9.3;31;24;9;6;8;3;10;13;18;16;144;132;184;177;28;45;29;23;0;0.5;0.5;;;;1141.29;101;30;96.4;4.8;0.17
Agostino;Kenny;Left wing;LW;STL;USA;72;202;L;7;1;2;2;0;3;0;1.9;2;117;5366;89.4;12.78;0.25;0.75;0.07;0.912;982;2.69;2.01;0.57;1;0.67;26;24;17;1.4;4;1;1;2;31.4;32.7;38.5;9;7;2;7;4;1;3;0.05;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;6;4;0;2;3;0;0;8;1;1;1;1;0;0.1;1;0;0;0;0;95;65;77;48;57;34;5.2;3.3;20;10;4;3;3;4;3;4;6;8;29;38;30;39;14;8;5;3;0.2;0.1;0.3;;;;271.29;14;10;107.4;4.6;0.66
Aho;Sebastian;Right wing;RW/LW;CAR;FIN;71;172;L;82;24;25;12;13;49;-1;5.1;26;1814;82591;1357.5;16.78;0.29;0.69;0.09;0.911;1005;3.14;2.21;0.59;21;0.93;360;285;214;24.4;77;25;26;51;26;25.7;215.3;51;91;-42;71;57;40;14;0.01;17;18;0.49;0.03;1;0;11;10;5;8;2;3;10;2;9;14;1;5;4;2;0;0;1;2;4;7;1;0;9;0;2;3;66;26;8;17;47;12;7;97;13;22;12;20;9;7.2;13;0;0;0;0;1443;1018;1070;798;757;561;80.1;50.4;283;167;71;50;82;43;68;53;150;96;705;558;373;493;236;203;53;66;4.2;1.8;5.9;5;2;0;3267.64;91;7;108.8;57.6;0.71
Alzner;Karl;Defense;D;WSH;CAN;75;219;L;82;3;10;5;5;13;23;-5.4;28;2095;97371;1618.1;19.8;0.35;0.21;0.10;0.932;1029;2.3;2.11;0.52;5;0.19;162;121;81;3.4;4;2;5;7;53.5;48.7;96.6;105;106;-1;40;52;17;162;0.10;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;2;0;1;5;34;2;0;25;19;1;0;34;14;9;14;6;-5;-0.4;14;0;0;0;0;1182;1671;894;1226;641;840;54.5;82.7;182;305;62;57;44;78;80;96;124;174;907;865;552;530;293;196;92;75;-0.3;4.8;4.6;;;;3045.6;295;8.7;105.8;18.5;0.23
Anderson;Josh;Right wing;RW;CBJ;CAN;75;221;R;78;17;12;8;4;29;12;-0.1;89;1364;56253;936.1;12.02;0.23;0.69;0.10;0.939;1034;2.69;1.92;0.58;12;0.77;193;160;119;14.1;53;10;9;19;27.8;25;134.1;147;86;61;41;16;25;40;0.04;8;21;0.28;0.03;1;2;1;7;6;12;1;4;4;8;5;14;0;3;3;0;0;0;5;0;0;5;1;0;6;1;1;5;34;20;0;9;34;7;1;48;37;24;32;17;-13;-14.9;32;5;0;0;0;780;903;590;669;443;490;39.7;43.6;134;149;42;30;34;37;42;39;76;76;423;468;391;352;96;87;65;50;2.6;1.5;4;;;;3226.96;281;5.4;107.9;25.9;0.33
Andersson;Rasmus;Defense;D;CGY;SWE;73;214;R;1;0;0;0;0;0;-1;0.2;0;23;1113;18.6;18.55;0.31;0.00;0.00;0.8;800;0;3.23;0.00;-1;-3.23;1;0;0;0;0;0;0;0;0;NA;0;4;1;3;0;0;0;2;0.13;0;0;0.00;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0.1;0;0;0;0;0;15;15;6;9;6;5;0.7;0.5;2;0;0;1;3;0;1;0;4;0;5;7;9;6;3;0;0;0;0;0;-0.1;;;;41.45;6;0;97;-0.1;-0.05
Andreoff;Andy;Left wing;LW/C;L.A;CAN;73;210;L;36;0;2;2;0;2;-2;0.5;70;527;22888;381.1;10.6;0.21;0.33;0.04;0.939;973;0.94;1.42;0.40;-3;-0.47;81;57;38;4.1;12;5;2;7;27.2;24.5;116.5;70;47;23;19;10;5;7;0.02;41;28;0.59;0.24;12;13;14;5;15;10;15;10;14;11;22;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;17;5;0;2;9;1;0;21;19;9;18;8;-10;-11;14;2;0;2;1;359;308;254;228;173;147;16.2;15.7;47;55;6;9;18;13;15;27;33;40;136;150;242;215;52;28;46;27;-0.9;0.5;-0.4;;;;1457.01;149;5.4;105;5.4;0.15
Andrighetto;Sven;Right wing;RW;COL/MTL;CHE;70;188;L;46;7;17;9;8;24;1;1.3;12;845;38550;641.5;13.97;0.26;0.86;0.09;0.931;1019;2.62;1.87;0.58;8;0.75;130;91;68;5.9;16;7;10;17;29.9;28.2;194.4;40;47;-7;23;9;19;22;0.04;7;3;0.70;0.02;0;0;1;1;6;2;5;0;1;1;5;2;0;0;0;0;0;0;1;0;1;0;1;1;3;0;1;2;20;5;0;7;7;2;1;46;6;7;6;5;1;0.6;6;0;0;0;0;613;528;441;386;318;289;26.8;22.9;84;71;28;20;27;22;35;24;62;46;338;287;183;232;90;73;26;27;1.5;0.9;2.4;;;;1792.07;74;9.8;106.7;22.3;0.48
Anisimov;Artem;Center;C/LW;CHI;RUS;76;198;L;64;22;23;12;11;45;9;-2.7;30;1401;68529;1138.6;17.85;0.31;0.66;0.12;0.92;1038;3.58;2.42;0.60;22;1.16;191;140;105;16;68;9;10;19;20.7;20.6;232.1;18;73;-55;35;16;35;27;0.03;416;506;0.45;0.88;86;110;151;188;179;208;91;131;164;191;282;336;1;4;7;1;0;0;1;1;0;2;5;0;13;0;2;7;26;17;1;1;10;14;2;60;15;9;15;9;-6;-0.2;15;0;0;0;0;1112;977;793;745;575;576;52.1;51.5;173;177;68;46;19;47;48;56;67;103;459;588;151;401;163;129;60;54;4.2;1.4;5.6;1;0;0;2544.57;75;3.5;110.1;39.1;0.61
Archibald;Josh;Right wing;RW;PIT;CAN;70;176;R;10;3;0;0;0;3;3;-0.6;4;163;6519;108.6;10.87;0.20;0.50;0.13;0.949;1077;3.31;1.66;0.67;3;1.66;24;20;11;2.1;6;1;2;3;28.1;24.8;0;28;13;15;9;2;0;2;0.02;0;1;0.00;0.01;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;9;2;0;1;3;0;0;5;2;2;2;2;0;0;2;0;0;0;0;89;115;68;84;47;59;5.8;6;20;23;6;3;5;7;4;6;9;13;42;53;82;65;18;4;3;3;0.4;0.2;0.6;;;;434.58;34;14;112.7;2.5;0.25
Armia;Joel;Right wing;RW;WPG;FIN;75;205;R;57;10;9;6;3;19;-8;-2;20;1226;51769;847.6;15.13;0.27;0.68;0.07;0.913;985;1.98;3.11;0.39;-16;-1.13;191;140;111;12.1;42;9;26;35;28.2;25.8;158.6;68;48;18;32;19;42;30;0.03;3;4;0.43;0.01;0;0;2;3;1;1;2;0;0;3;1;1;0;0;1;0;0;0;0;0;0;1;1;1;7;1;4;3;24;12;3;5;9;7;5;70;10;14;10;13;4;3.5;10;0;0;0;0;682;871;517;655;387;505;34.9;43.7;118;136;28;44;29;42;51;43;80;85;414;392;391;284;117;98;47;41;0.8;0.4;1.2;;;;2303.64;118;11;109.9;17.2;0.31
