Variable;Details
Last Name;
First Name;
Position_cat4;Positions played (NHL source)
Position;Positions played. NHL source listed first, followed by those listed by any other source.
Team;
Nat;Nationality
Height;Height
Weigth;Weigth
Hand;Handedness
GP;Games Played
Goals;Goals
Assist;Assist
A1;First assists, primary assists
A2;Second assists, secondary assists
Points;Points
Plus_minus;Plus/minus
E_plus_min;A player's expected +/-, based on his team and minutes played
PIM;Penalties in minutes
TOI;Time on ice, in minutes, or in seconds (NHL)
TOI/GP;Time on ice divided by games played
TOI%;Percentage of all available ice time assigned to this player.
IPP%;Individual points percentage, which is on-ice goals for which this player had the goal or an assist
SH%;The team's (not individual's) shooting percentage when the player was on the ice
SV%;The team's save percentage when the player was on the ice
PDO;The team's shooting and save percentages added together, times a thousand
F/60;Events For per 60 minutes, defaults to Corsi, but can be set to another stat
A/60;Events Against per 60 minutes, defaults to Corsi, but can be set to another stat
Pct%;Percentage of all events produced by this team, defaults to Corsi, but can be set to another stat
Diff;Events for minus event against, defaults to Corsi, but can be set to another stat
Diff/60;Events for minus event against, per 60 minutes, defaults to Corsi, but can be set to another stat
iCF;Shot attempts (Corsi, SAT) taken by this individual
iFF;Unblocked shot attempts (Fenwick, USAT) taken by this individual
iSF;Shots on goal taken by this individual
ixG;Expected goals (weighted shots) for this individual, which is shot attempts weighted by shot location
iSCF;All scoring chances taken by this individual
iRB;Rebound shots taken by this individual
iRS;Shots off the rush taken by this individual
iDS;Dangerous shots taken by this player, the sum of rebounds and shots off the rush
sDist;The average shot distance of shots taken by this player
Pass;An estimate of the player's setup passes (passes that result in a shot attempt)
iHF;Hits thrown by this individual
iHA;Hits taken by this individual
iHDf;The difference in hits thrown by this individual minus those taken
iMiss;Individual shots taken that missed the net.
iGVA;Giveaways by this individual
iTKA;Takeaways by this individual
iBLK;Shots blocked by this individual
BLK%;Percentage of all opposing shot attempts blocked by this player
iFOW;Faceoff wins by this individual
iFOL;Faceoff losses by this individual
FO%;Faceoff winning percentage
%FOT;Percentage of all on-ice faceoffs taken by this player.
dzFOW;Faceoffs win in the defensive zone
dzFOL;Faceoffs lost in the defensive zone
nzFOW;Faceoffs won in the neutral zone
nzFOL;Faceoffs lost in the neutral zone
ozFOW;Faceoffs won in the offensive zone
ozFOL;Faceoffs lost in the offensive zone
FOW.Up;Faceoffs won when the team was in the lead
FOL.Up;Faceoffs lost when the team was in the lead
FOW.Down;Faceoffs won when the team was trailing
